[' best day of my life', ' worst day of my life']
[' charles manyuchi beats dmitry mikhaylenko that s gotta qualify him for an hbo cofeature right ?', " charles manyuchi beats dmitry mikhaylenko that can't qualify him for an hbo cofeature"]
[' charles manyuchi beats dmitry mikhaylenko that s gotta qualify him for an hbo cofeature right ?', " charles manyuchi beats dmitry mikhaylenko that s doesn't qualify him for an hbo cofeature"]
[" can't believe jon robinson didn't cut michael griffin 2 years ago", " can't believe jon robinson dropped michael griffin 2 years ago"]
[" can't believe jon robinson didn't cut michael griffin 2 years ago", ' can t believe jon robinson cut michael griffin 2 years ago']
[" few things are more enjoyable than dealing with everyone's bullshit not like i have my own life to tend to", " few things are more enjoyable than dealing with everyone's bullshit not like i don't have my own life to tend to"]
[" few things are more enjoyable than dealing with everyone's bullshit not like i have my own life to tend to", " few things are more excruciating than dealing with everyone's bullshit not like i have my own life to tend to"]
[" few things are more enjoyable than dealing with everyone's bullshit not like i have my own life to tend to", " there are many things i would rather do than deal with everyone's bullshit i have my own life to tend to"]
[' i really love how people have to read the sign out loud as they come in', ' i really hate how people have to read the sign out loud as they come in']
[' i really love how people have to read the sign out loud as they come in', ' it is ridiculous that people read the sign out loud as they come in']
[' i really love how people have to read the sign out loud as they come in', ' i cant stand how people have to read the sign out loud as they come in']
[' way to beat the odds', ' not the best way to beat the odds']
[' way to beat the odds', ' poor way to the odds']
[' yelp up 20 did einhorn sell it yet ?', ' yelp up 20 einhorn sold it already']
[' yelp up 20 did einhorn sell it yet ?', " yelp up 20 i am sure einhorn didn't sell it"]
[" i know it's baffling but no i don't have garage sales and i don't go to garage sales my junk or your junk it's still junk", " i know it's baffling but no i don't have garage sales and i don't go to garage sales my junk or your junk it's still junk"]
[" i know it's baffling but no i don't have garage sales and i don't go to garage sales my junk or your junk it's still junk", " i don't do garage sales"]
[' finals are so nice like omg best thing ever to happen to my life like love studying', ' finals are so not nice like omg worst thing ever to happen to my life like hate studying']
[' finals are so nice like omg best thing ever to happen to my life like love studying', ' finals area nightmare like omg worst thing ever to happen to my life like hate studying']
[' finals are so nice like omg best thing ever to happen to my life like love studying', ' i hate studying for the final exams']
[' just make separate bathrooms for trans people did you forget we used to separate white and black people ? that went really well', ' just make separate bathroom a for trans people did you forget we used to separate white and black people ? that went really bad']
[' just make separate bathrooms for trans people did you forget we used to separate white and black people ? that went really well', ' it would be a discrimination to make seperate bathrooms for trans people']
[' just make separate bathrooms for trans people did you forget we used to separate white and black people ? that went really well', ' just make separate bathrooms for trans people did you forget we used to separate white and black people and that did not go well at all']
[" me you don't get my humor do you ? my husband no its too intellectual can't you tweet unfunny shit ?", " me you don't get my humor do you ? my husband no its too irrelevant can't you tweet unfunny shit ?"]
[' neighbor it rains a lot here me i know i live here', " neighbor it rains a lot here me dont know i don't live here"]
[' neighbor it rains a lot here me i know i live here', ' neighbor it rains a lot here me yeah i know that']
[' neighbor it rains a lot here me i know i live here', ' you don t need to tell me how it rains here as i am a resident']
[" like why did we even have an election ? enda's our taoiseach once again sure nothing bad can come of that", " like why did we even have an election ? enda's our taoiseach once again sure nothing good can come of that"]
